State,Population
Alabama,5024279
Alaska,733391
Arizona,113990
Arkansas,53179
California,39538223
Colorado,104094
Connecticut,3605944
Delaware,989948
Florida,21538187
Georgia,59425
Hawaii,10932
Idaho,83569
Illinois,12812508
Indiana,36420
Iowa,56273
Kansas,2937880
Kentucky[B],4505836
Louisiana,4657757
Maine,1362359
Maryland,6177224
Massachusetts[B],10554
Michigan,10077331
Minnesota,5706494
Mississippi,48432
Missouri,6154913
Montana,1084225
Nebraska,1961504
Nevada,3104614
New Hampshire,1377529
New Jersey,9288994
New Mexico,2117522
New York,20201249
North Carolina,10439388
North Dakota,779094
Ohio,44826
Oklahoma,69899
Oregon,4237256
Pennsylvania[B],13002700
Rhode Island,1545
South Carolina,5118425
South Dakota,886667
Tennessee,42144
Texas,29145505
Utah,84897
Vermont,643077
Virginia[B],8631393
Washington,7705281
West Virginia,24230
Wisconsin,5893718
Wyoming,97813
